sch_id,item_name,tel_code,ob_id,execution_time,ra,dec,instrument,rank_class,seeing,sky_transparency,airmass,moon_distance,fli
      829985 , SMTS.FORS2.TODAY                 , UT1              ,     2455375 ,           3600 ,   593040900 ,  -123494800 , FORS2            , B          ,       2.000 , 3THN             ,       2.800 ,     108000000 ,       1.000 
      829985 , SMTS.FORS2.TODAY                 , UT1              ,     2455378 ,           3600 ,   603411750 ,  -155932600 , FORS2            , B          ,       2.000 , 3THN             ,       2.800 ,     108000000 ,       1.000 
      829985 , SMTS.FORS2.TODAY                 , UT1              ,     2455381 ,           3600 ,   635200350 ,  -100807600 , FORS2            , B          ,       2.000 , 3THN             ,       2.800 ,     108000000 ,       1.000 
      829985 , SMTS.FORS2.TODAY                 , UT1              ,     2455384 ,           3600 ,   646632750 ,  -176599600 , FORS2            , B          ,       2.000 , 3THN             ,       2.800 ,     108000000 ,       1.000 
      829985 , SMTS.FORS2.TODAY                 , UT1              ,     2455387 ,           3600 ,   713428500 ,   -99203500 , FORS2            , B          ,       2.000 , 3THN             ,       2.800 ,     108000000 ,       1.000 
      829985 , SMTS.FORS2.TODAY                 , UT1              ,     2455390 ,           3600 ,   715457400 ,   -97242600 , FORS2            , B          ,       2.000 , 3THN             ,       2.800 ,     108000000 ,       1.000 
      829985 , SMTS.FORS2.TODAY                 , UT1              ,     2455393 ,           3600 ,   741212850 ,  -179623900 , FORS2            , B          ,       2.000 , 3THN             ,       2.800 ,     108000000 ,       1.000 
      829985 , SMTS.FORS2.TODAY                 , UT1              ,     2455402 ,           3600 ,  1289741400 ,  -212561900 , FORS2            , B          ,       2.000 , 3THN             ,       2.800 ,     108000000 ,       1.000 
      829985 , SMTS.FORS2.TODAY                 , UT1              ,     2455405 ,           3600 ,  1256948850 ,  -268833700 , FORS2            , B          ,       2.000 , 3THN             ,       2.800 ,     108000000 ,       1.000 
      829985 , SMTS.FORS2.TODAY                 , UT1              ,     2455408 ,           3600 ,  1246190250 ,  -194614100 , FORS2            , B          ,       2.000 , 3THN             ,       2.800 ,     108000000 ,       1.000 
      829985 , SMTS.FORS2.TODAY                 , UT1              ,     2455411 ,           3600 ,  1226470350 ,  -301833900 , FORS2            , B          ,       2.000 , 3THN             ,       2.800 ,     108000000 ,       1.000 
      829985 , SMTS.FORS2.TODAY                 , UT1              ,     2455414 ,           3600 ,  1247457000 ,  -244065400 , FORS2            , B          ,       2.000 , 3THN             ,       2.800 ,     108000000 ,       1.000 
      829985 , SMTS.FORS2.TODAY                 , UT1              ,     2455417 ,           3600 ,  1250107650 ,  -222548900 , FORS2            , B          ,       2.000 , 3THN             ,       2.800 ,     108000000 ,       1.000 
      829985 , SMTS.FORS2.TODAY                 , UT1              ,     2455420 ,           3600 ,  1245910200 ,  -220123500 , FORS2            , B          ,       2.000 , 3THN             ,       2.800 ,     108000000 ,       1.000 
      829985 , SMTS.FORS2.TODAY                 , UT1              ,     2455423 ,           3600 ,   230274750 ,  -269017300 , FORS2            , B          ,       2.000 , 3THN             ,       2.800 ,     108000000 ,       1.000 
      829985 , SMTS.FORS2.TODAY                 , UT1              ,     2455426 ,           3600 ,   261634800 ,  -138802200 , FORS2            , B          ,       2.000 , 3THN             ,       2.800 ,     108000000 ,       1.000 
      829985 , SMTS.FORS2.TODAY                 , UT1              ,     2455429 ,           3600 ,   197944500 ,  -147552600 , FORS2            , B          ,       2.000 , 3THN             ,       2.800 ,     108000000 ,       1.000 
      829985 , SMTS.FORS2.TODAY                 , UT1              ,     2455435 ,           3600 ,   113035050 ,  -241663600 , FORS2            , B          ,       2.000 , 3THN             ,       2.800 ,     108000000 ,       1.000 
      829985 , SMTS.FORS2.TODAY                 , UT1              ,     2455438 ,           3600 ,    86791500 ,  -138660400 , FORS2            , B          ,       2.000 , 3THN             ,       2.800 ,     108000000 ,       1.000 
      829985 , SMTS.FORS2.TODAY                 , UT1              ,     2455441 ,           3600 ,    82203750 ,  -142303200 , FORS2            , B          ,       2.000 , 3THN             ,       2.800 ,     108000000 ,       1.000 
      829985 , SMTS.FORS2.TODAY                 , UT1              ,     2455444 ,           3600 ,    99153450 ,  -204797500 , FORS2            , B          ,       2.000 , 3THN             ,       2.800 ,     108000000 ,       1.000 
      829985 , SMTS.FORS2.TODAY                 , UT1              ,     2455447 ,           3600 ,   109166400 ,   -93114900 , FORS2            , B          ,       2.000 , 3THN             ,       2.800 ,     108000000 ,       1.000 
      829985 , SMTS.FORS2.TODAY                 , UT1              ,     2455450 ,           3600 ,    68951850 ,  -228613500 , FORS2            , B          ,       2.000 , 3THN             ,       2.800 ,     108000000 ,       1.000 
      829985 , SMTS.FORS2.TODAY                 , UT1              ,     2455453 ,           3600 ,    74184000 ,  -260297300 , FORS2            , B          ,       2.000 , 3THN             ,       2.800 ,     108000000 ,       1.000 
      829985 , SMTS.FORS2.TODAY                 , UT1              ,     2455456 ,           3600 ,    43947150 ,  -269234500 , FORS2            , B          ,       2.000 , 3THN             ,       2.800 ,     108000000 ,       1.000 
      829985 , SMTS.FORS2.TODAY                 , UT1              ,     2455459 ,           3600 ,    25194450 ,  -188389700 , FORS2            , B          ,       2.000 , 3THN             ,       2.800 ,     108000000 ,       1.000 
      829985 , SMTS.FORS2.TODAY                 , UT1              ,     2455462 ,           3600 ,     9954300 ,  -228362200 , FORS2            , B          ,       2.000 , 3THN             ,       2.800 ,     108000000 ,       1.000 
      829985 , SMTS.FORS2.TODAY                 , UT1              ,     2455465 ,           3600 ,    23631900 ,  -225465700 , FORS2            , B          ,       2.000 , 3THN             ,       2.800 ,     108000000 ,       1.000 
      829985 , SMTS.FORS2.TODAY                 , UT1              ,     2455468 ,           3600 ,    17393400 ,  -246771500 , FORS2            , B          ,       2.000 , 3THN             ,       2.800 ,     108000000 ,       1.000 
      829985 , SMTS.FORS2.TODAY                 , UT1              ,     2455471 ,           3600 ,    12833250 ,  -175376600 , FORS2            , B          ,       2.000 , 3THN             ,       2.800 ,     108000000 ,       1.000 
      829985 , SMTS.FORS2.TODAY                 , UT1              ,     2455474 ,           3600 ,    10093950 ,  -104906100 , FORS2            , B          ,       2.000 , 3THN             ,       2.800 ,     108000000 ,       1.000 
      829985 , SMTS.FORS2.TODAY                 , UT1              ,     2455477 ,           3600 ,  1205251650 ,  -162565100 , FORS2            , B          ,       2.000 , 3THN             ,       2.800 ,     108000000 ,       1.000 
      829985 , SMTS.FORS2.TODAY                 , UT1              ,     2455480 ,           3600 ,  1167528900 ,  -149205700 , FORS2            , B          ,       2.000 , 3THN             ,       2.800 ,     108000000 ,       1.000 
      829985 , SMTS.FORS2.TODAY                 , UT1              ,     2455483 ,           3600 ,  1125411750 ,  -252271600 , FORS2            , B          ,       2.000 , 3THN             ,       2.800 ,     108000000 ,       1.000 
      829985 , SMTS.FORS2.TODAY                 , UT1              ,     2455486 ,           3600 ,  1101893700 ,  -219578100 , FORS2            , B          ,       2.000 , 3THN             ,       2.800 ,     108000000 ,       1.000 
      829985 , SMTS.FORS2.TODAY                 , UT1              ,     2455489 ,           3600 ,  1098175650 ,  -273658200 , FORS2            , B          ,       2.000 , 3THN             ,       2.800 ,     108000000 ,       1.000 
      829985 , SMTS.FORS2.TODAY                 , UT1              ,     2455498 ,           3600 ,    50014500 ,  -208978400 , FORS2            , B          ,       2.000 , 3THN             ,       2.800 ,     108000000 ,       1.000 
      829985 , SMTS.FORS2.TODAY                 , UT1              ,     2455501 ,           3600 ,    59236050 ,  -152062400 , FORS2            , B          ,       2.000 , 3THN             ,       2.800 ,     108000000 ,       1.000 
      829985 , SMTS.FORS2.TODAY                 , UT1              ,     2458236 ,           3600 ,   652780800 ,  -223390100 , FORS2            , B          ,       1.200 , 3THN             ,       2.800 ,     108000000 ,       1.000 
      829985 , SMTS.FORS2.TODAY                 , UT1              ,     2458281 ,           3600 ,   652780800 ,  -223390100 , FORS2            , B          ,       1.200 , 3THN             ,       2.800 ,     108000000 ,       1.000 
      829985 , SMTS.FORS2.TODAY                 , UT1              ,     2458284 ,           3600 ,   652780800 ,  -223390100 , FORS2            , B          ,       1.200 , 3THN             ,       2.800 ,     108000000 ,       1.000 
      829985 , SMTS.FORS2.TODAY                 , UT1              ,     2458287 ,           3600 ,   652780800 ,  -223390100 , FORS2            , B          ,       1.200 , 3THN             ,       2.800 ,     108000000 ,       1.000 
      829985 , SMTS.FORS2.TODAY                 , UT1              ,     2458298 ,           3600 ,   732151650 ,  -224341200 , FORS2            , B          ,       1.200 , 3THN             ,       2.800 ,     108000000 ,       1.000 
      829985 , SMTS.FORS2.TODAY                 , UT1              ,     2458322 ,           3600 ,   732151650 ,  -224341200 , FORS2            , B          ,       1.200 , 3THN             ,       2.800 ,     108000000 ,       1.000 
      829985 , SMTS.FORS2.TODAY                 , UT1              ,     2458325 ,           3600 ,   732151650 ,  -224341200 , FORS2            , B          ,       1.200 , 3THN             ,       2.800 ,     108000000 ,       1.000 
      829985 , SMTS.FORS2.TODAY                 , UT1              ,     2458328 ,           3600 ,   732151650 ,  -224341200 , FORS2            , B          ,       1.200 , 3THN             ,       2.800 ,     108000000 ,       1.000 
      829985 , SMTS.FORS2.TODAY                 , UT1              ,     2458331 ,           3600 ,   732151650 ,  -224341200 , FORS2            , B          ,       1.200 , 3THN             ,       2.800 ,     108000000 ,       1.000 
      829985 , SMTS.FORS2.TODAY                 , UT1              ,     2463432 ,           1803 ,    91962570 ,  -181957580 , FORS2            , A          ,       0.600 , 2CLR             ,       1.200 ,     252000000 ,       0.000 
      829985 , SMTS.FORS2.TODAY                 , UT1              ,     2463435 ,           1803 ,   260187000 ,  -176488570 , FORS2            , A          ,       0.600 , 2CLR             ,       1.200 ,     252000000 ,       0.000 
      829985 , SMTS.FORS2.TODAY                 , UT1              ,     2463438 ,           1803 ,   183790725 ,  -225367730 , FORS2            , A          ,       0.600 , 2CLR             ,       1.300 ,     252000000 ,       0.000 
      829985 , SMTS.FORS2.TODAY                 , UT1              ,     2463441 ,           1803 ,   253624110 ,  -176120000 , FORS2            , A          ,       0.600 , 2CLR             ,       1.200 ,     252000000 ,       0.000 
      829985 , SMTS.FORS2.TODAY                 , UT1              ,     2463444 ,           1803 ,   222218865 ,  -173111640 , FORS2            , A          ,       0.600 , 2CLR             ,       1.200 ,     252000000 ,       0.000 
      829985 , SMTS.FORS2.TODAY                 , UT1              ,     2463447 ,           1803 ,   100294935 ,  -215661190 , FORS2            , A          ,       0.600 , 2CLR             ,       1.300 ,     252000000 ,       0.000 
      829985 , SMTS.FORS2.TODAY                 , UT1              ,     2463450 ,           1803 ,    52492500 ,  -222353000 , FORS2            , A          ,       0.600 , 2CLR             ,       1.300 ,     252000000 ,       0.000 
      829985 , SMTS.FORS2.TODAY                 , UT1              ,     2463453 ,           1803 ,    56408445 ,  -165833010 , FORS2            , A          ,       0.600 , 2CLR             ,       1.200 ,     252000000 ,       0.000 
      829985 , SMTS.FORS2.TODAY                 , UT1              ,     2470715 ,           3372 ,   706934175 ,   -31528250 , FORS2            , B          ,       1.100 , 2CLR             ,       1.800 ,     108000000 ,       0.200 
      829985 , SMTS.FORS2.TODAY                 , UT1              ,     2481020 ,           3287 ,   292920000 ,   -72648300 , FORS2            , A          ,       1.400 , 2CLR             ,       1.500 ,     108000000 ,       0.500 
      829985 , SMTS.FORS2.TODAY                 , UT1              ,     2485900 ,           3600 ,   219453600 ,    -9567500 , FORS2            , B          ,       0.900 , 2CLR             ,       1.600 ,     324000000 ,       0.300 
      829985 , SMTS.FORS2.TODAY                 , UT1              ,     2485918 ,           3600 ,   219453600 ,    -9567500 , FORS2            , B          ,       0.900 , 2CLR             ,       1.400 ,     324000000 ,       0.000 
      829985 , SMTS.FORS2.TODAY                 , UT1              ,     2489753 ,           3600 ,   191017890 ,   -99823980 , FORS2            , B          ,       1.000 , 2CLR             ,       1.400 ,     108000000 ,       0.700 
      829985 , SMTS.FORS2.TODAY                 , UT1              ,     2495812 ,           3600 ,   190950120 ,  -100363620 , FORS2            , B          ,       1.000 , 2CLR             ,       1.400 ,     108000000 ,       0.700 
      829985 , SMTS.FORS2.TODAY                 , UT1              ,     2499143 ,           3600 ,   191347185 ,  -100373520 , FORS2            , B          ,       1.000 , 2CLR             ,       1.400 ,     108000000 ,       0.700 
      829985 , SMTS.FORS2.TODAY                 , UT1              ,     2500538 ,           3600 ,   191615385 ,  -100167460 , FORS2            , B          ,       1.000 , 2CLR             ,       1.400 ,     108000000 ,       0.700 
      829985 , SMTS.FORS2.TODAY                 , UT1              ,     2502906 ,           3600 ,   191017890 ,   -99823980 , FORS2            , B          ,       1.000 , 2CLR             ,       1.400 ,     108000000 ,       0.700 
      829985 , SMTS.FORS2.TODAY                 , UT1              ,     2502909 ,           3600 ,   191017890 ,   -99823980 , FORS2            , B          ,       1.000 , 2CLR             ,       1.400 ,     108000000 ,       0.700 
      829985 , SMTS.FORS2.TODAY                 , UT1              ,     2502912 ,           3600 ,   191017890 ,   -99823980 , FORS2            , B          ,       1.000 , 2CLR             ,       1.400 ,     108000000 ,       0.700 
      829985 , SMTS.FORS2.TODAY                 , UT1              ,     2502915 ,           3600 ,   191017890 ,   -99823980 , FORS2            , B          ,       1.000 , 2CLR             ,       1.400 ,     108000000 ,       0.700 
      829985 , SMTS.FORS2.TODAY                 , UT1              ,     2502920 ,           3600 ,   191017890 ,   -99823980 , FORS2            , B          ,       1.000 , 2CLR             ,       1.400 ,     108000000 ,       0.700 
      829985 , SMTS.FORS2.TODAY                 , UT1              ,     2502923 ,           3600 ,   191017890 ,   -99823980 , FORS2            , B          ,       1.000 , 2CLR             ,       1.400 ,     108000000 ,       0.700 
      829985 , SMTS.FORS2.TODAY                 , UT1              ,     2502926 ,           3600 ,   191017890 ,   -99823980 , FORS2            , B          ,       1.000 , 2CLR             ,       1.400 ,     108000000 ,       0.700 
      829985 , SMTS.FORS2.TODAY                 , UT1              ,     2502929 ,           3600 ,   191017890 ,   -99823980 , FORS2            , B          ,       1.000 , 2CLR             ,       1.400 ,     108000000 ,       0.700 
      829985 , SMTS.FORS2.TODAY                 , UT1              ,     2502932 ,           3600 ,   191017890 ,   -99823980 , FORS2            , B          ,       1.000 , 2CLR             ,       1.400 ,     108000000 ,       0.700 
      829985 , SMTS.FORS2.TODAY                 , UT1              ,     2502935 ,           3600 ,   191017890 ,   -99823980 , FORS2            , B          ,       1.000 , 2CLR             ,       1.400 ,     108000000 ,       0.700 
