sch_id,item_name,tel_code,ob_id,execution_time,ra,dec,instrument,rank_class,seeing,sky_transparency,airmass,moon_distance,fli
      829985 , SMTS.FORS2.TODAY                 , UT1              ,     1675685 ,           3600 ,  1213221660 ,  -126512900 , FORS2            , A          ,       0.800 , 2CLR             ,       1.500 ,     324000000 ,       0.200 
      829985 , SMTS.FORS2.TODAY                 , UT1              ,     1675688 ,           3600 ,  1213221660 ,  -126512900 , FORS2            , A          ,       0.800 , 2CLR             ,       1.500 ,     324000000 ,       0.200 
      829985 , SMTS.FORS2.TODAY                 , UT1              ,     1675691 ,           3600 ,  1213221660 ,  -126512900 , FORS2            , A          ,       0.800 , 2CLR             ,       1.500 ,     324000000 ,       0.200 
      829985 , SMTS.FORS2.TODAY                 , UT1              ,     1675694 ,           3600 ,  1213221660 ,  -126512900 , FORS2            , A          ,       0.800 , 2CLR             ,       1.500 ,     324000000 ,       0.200 
      829985 , SMTS.FORS2.TODAY                 , UT1              ,     1775451 ,           3600 ,   545923500 ,    57436000 , FORS2            , C          ,       2.000 , 4THK             ,       2.500 ,     108000000 ,       1.000 
      829985 , SMTS.FORS2.TODAY                 , UT1              ,     1775463 ,           3600 ,   670801500 ,    14362000 , FORS2            , C          ,       2.000 , 4THK             ,       2.500 ,     108000000 ,       1.000 
      829985 , SMTS.FORS2.TODAY                 , UT1              ,     1775472 ,           3600 ,   691581000 ,    47629000 , FORS2            , C          ,       2.000 , 4THK             ,       2.500 ,     108000000 ,       1.000 
      829985 , SMTS.FORS2.TODAY                 , UT1              ,     1775475 ,           3600 ,   696417000 ,    22635000 , FORS2            , C          ,       2.000 , 4THK             ,       2.500 ,     108000000 ,       1.000 
      829985 , SMTS.FORS2.TODAY                 , UT1              ,     1775493 ,           3600 ,   811485000 ,    24888000 , FORS2            , C          ,       2.000 , 4THK             ,       2.500 ,     108000000 ,       1.000 
      829985 , SMTS.FORS2.TODAY                 , UT1              ,     1775496 ,           3600 ,   818970000 ,    25862000 , FORS2            , C          ,       2.000 , 4THK             ,       2.500 ,     108000000 ,       1.000 
      829985 , SMTS.FORS2.TODAY                 , UT1              ,     1775502 ,           3600 ,   832786500 ,    11772000 , FORS2            , C          ,       2.000 , 4THK             ,       2.500 ,     108000000 ,       1.000 
      829985 , SMTS.FORS2.TODAY                 , UT1              ,     1775505 ,           3600 ,   835689000 ,    30684000 , FORS2            , C          ,       2.000 , 4THK             ,       2.500 ,     108000000 ,       1.000 
      829985 , SMTS.FORS2.TODAY                 , UT1              ,     1775508 ,           3600 ,   846063000 ,    25953000 , FORS2            , C          ,       2.000 , 4THK             ,       2.500 ,     108000000 ,       1.000 
      829985 , SMTS.FORS2.TODAY                 , UT1              ,     1775511 ,           3600 ,   853505985 ,     2327000 , FORS2            , C          ,       2.000 , 4THK             ,       2.500 ,     108000000 ,       1.000 
      829985 , SMTS.FORS2.TODAY                 , UT1              ,     1775514 ,           3600 ,   857557500 ,    15861000 , FORS2            , C          ,       2.000 , 4THK             ,       2.500 ,     108000000 ,       1.000 
      829985 , SMTS.FORS2.TODAY                 , UT1              ,     1775517 ,           3600 ,   859386000 ,    29886000 , FORS2            , C          ,       2.000 , 4THK             ,       2.500 ,     108000000 ,       1.000 
      829985 , SMTS.FORS2.TODAY                 , UT1              ,     1775520 ,           3600 ,   860641500 ,    15987000 , FORS2            , C          ,       2.000 , 4THK             ,       2.500 ,     108000000 ,       1.000 
      829985 , SMTS.FORS2.TODAY                 , UT1              ,     1775523 ,           3600 ,   866922000 ,    26109000 , FORS2            , C          ,       2.000 , 4THK             ,       2.500 ,     108000000 ,       1.000 
      829985 , SMTS.FORS2.TODAY                 , UT1              ,     1775526 ,           3600 ,   870885000 ,    18796000 , FORS2            , C          ,       2.000 , 4THK             ,       2.500 ,     108000000 ,       1.000 
      829985 , SMTS.FORS2.TODAY                 , UT1              ,     1775529 ,           3600 ,   895435500 ,    31343000 , FORS2            , C          ,       2.000 , 4THK             ,       2.500 ,     108000000 ,       1.000 
      829985 , SMTS.FORS2.TODAY                 , UT1              ,     1775532 ,           3600 ,   899997000 ,    62175000 , FORS2            , C          ,       2.000 , 4THK             ,       2.500 ,     108000000 ,       1.000 
      829985 , SMTS.FORS2.TODAY                 , UT1              ,     1775535 ,           3600 ,   900231000 ,    62082000 , FORS2            , C          ,       2.000 , 4THK             ,       2.500 ,     108000000 ,       1.000 
      829985 , SMTS.FORS2.TODAY                 , UT1              ,     1775538 ,           3600 ,   901060500 ,    53928000 , FORS2            , C          ,       2.000 , 4THK             ,       2.500 ,     108000000 ,       1.000 
      829985 , SMTS.FORS2.TODAY                 , UT1              ,     1775541 ,           3600 ,   904344000 ,    53240000 , FORS2            , C          ,       2.000 , 4THK             ,       2.500 ,     108000000 ,       1.000 
      829985 , SMTS.FORS2.TODAY                 , UT1              ,     1775544 ,           3600 ,   921147000 ,    40781000 , FORS2            , C          ,       2.000 , 4THK             ,       2.500 ,     108000000 ,       1.000 
      829985 , SMTS.FORS2.TODAY                 , UT1              ,     1775547 ,           3600 ,   663463695 ,     8172710 , FORS2            , C          ,       2.000 , 4THK             ,       2.500 ,     108000000 ,       1.000 
      829985 , SMTS.FORS2.TODAY                 , UT1              ,     1775553 ,           3600 ,   729695985 ,    33943000 , FORS2            , C          ,       2.000 , 4THK             ,       2.500 ,     108000000 ,       1.000 
      829985 , SMTS.FORS2.TODAY                 , UT1              ,     1775559 ,           3600 ,   799907190 ,    23912000 , FORS2            , C          ,       2.000 , 4THK             ,       2.500 ,     108000000 ,       1.000 
